Grilla,Threads,Tiempo(s)
64,1,0.016099
64,2,0.00847133
64,4,0.00525633
64,6,0.00389594
64,8,0.00327836
64,12,0.00325924
64,16,0.00246039
64,32,0.00316671
64,48,0.00321981
64,64,0.00337268
64,80,0.00574958
96,1,0.110215
96,2,0.0634785
96,4,0.030469
96,6,0.0220924
96,8,0.0181164
96,12,0.0145221
96,16,0.0129791
96,32,0.0116567
96,48,0.0112064
96,64,0.0118189
96,80,0.0178987
128,1,0.103677
128,2,0.0592618
128,4,0.0319259
128,6,0.0229845
128,8,0.0183579
128,12,0.0142662
128,16,0.013276
128,32,0.0123342
128,48,0.011576
128,64,0.0123359
128,80,0.0181388
192,1,0.813028
192,2,0.449475
192,4,0.226555
192,6,0.156281
192,8,0.126488
192,12,0.103374
192,16,0.0864577
192,32,0.0596854
192,48,0.0547254
192,64,0.0523433
192,80,0.0571317
256,1,0.787506
256,2,0.447624
256,4,0.222078
256,6,0.158135
256,8,0.131305
256,12,0.0974975
256,16,0.0796778
256,32,0.0562752
256,48,0.0539118
256,64,0.0516688
256,80,0.0510814
512,1,6.36558
512,2,3.23065
512,4,1.69914
512,6,1.23275
512,8,0.966596
512,12,0.710925
512,16,0.570203
512,32,0.442339
512,48,0.418161
512,64,0.326176
512,80,0.313526
640,1,51.3862
640,2,26.1819
640,4,13.1821
640,6,9.41153
640,8,7.219
640,12,5.03305
640,16,3.81718
640,32,2.59485
640,48,2.45742
640,64,2.14595
640,80,2.17276
768,1,51.9504
768,2,26.2417
768,4,13.3186
768,6,9.43471
768,8,6.89277
768,12,5.09658
768,16,3.84061
768,32,2.59845
768,48,2.3327
768,64,2.16807
768,80,2.1554
896,1,50.7354
896,2,26.4894
896,4,13.2537
896,6,9.38271
896,8,6.95969
896,12,5.20665
896,16,3.8631
896,32,2.66143
896,48,2.45436
896,64,2.23636
896,80,2.12901
1024,1,51.7602
1024,2,26.7952
1024,4,13.2312
1024,6,9.46367
1024,8,6.86826
1024,12,5.16179
1024,16,3.85566
1024,32,2.57856
1024,48,2.44198
1024,64,2.19043
1024,80,2.17715
